MATERIAL_ID,MATERIAL_TYPE,ORIGINAL_CODE,ORIGINAL_COST,ALT_RANK,ALT_CODE,ALT_DESC,ALT_COST_MAT,ALT_COST_INST,ALT_COST_TOTAL,COST_REDUCTION_PCT,FUNCTIONAL_SCORE,DESIGN_SCORE,COST_SCORE,STRATEGY,STRATEGY_LABEL,QUANTITY,ALT_TOTAL_COST_TOTAL,ORIGINAL_TOTAL_COST,MATERIAL_DESC,PRODUCT_BRAND,PRODUCT_MODEL,PRODUCT_NOTES
W2,Window,4000,1715,0,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,0.0,5.0,5.0,1,original,Original,95.0,162925.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",As Specified,Original Selection,
W2,Window,4000,1715,1,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_functional_cost,Best Functional + Cost,95.0,126825.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",YKK AP,ProTek,Commercial aluminum
W2,Window,4000,1715,2,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_design_cost,Best Design + Cost,95.0,126825.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",YKK AP,ProTek,Commercial aluminum
W2,Window,4000,1715,3,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_cost_only,Lowest Cost,95.0,126825.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Arcadia,Casement Series,Aluminum casement
W2,Window,4000,1715,4,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,balanced,Balanced,95.0,126825.0,162925.0,"W2 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Kawneer,1600 Wall System,Architectural aluminum
W3,Window,4000,1715,0,4000,"Wood casement 5'-11"" x 5'-2""",1375,340,1715,0.0,5.0,5.0,1,original,Original,85.0,145775.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",As Specified,Original Selection,
W3,Window,4000,1715,1,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_functional_cost,Best Functional + Cost,85.0,113475.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Arcadia,Casement Series,Aluminum casement
W3,Window,4000,1715,2,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_design_cost,Best Design + Cost,85.0,113475.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",YKK AP,ProTek,Commercial aluminum
W3,Window,4000,1715,3,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,best_cost_only,Lowest Cost,85.0,113475.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Arcadia,Casement Series,Aluminum casement
W3,Window,4000,1715,4,7650,"Aluminum casement 4'-5"" x 5'-3""",885,450,1335,22.157434402332363,2.5,3.0,4,balanced,Balanced,85.0,113475.0,145775.0,"W3 - Vinyl (1) CASEMENT (1) FIXED (2) FIXED BOTTOM (5'-0"" x 6'-0"")",Arcadia,Casement Series,Aluminum casement
